Date,產業ETF,產業ETF推薦,產業ETF比較,產業ETF怎麼選,ETF怎麼選,ETF申購,半導體ETF風險,半導體庫存,半導體漲價,AI股修正,人形機器人ETF,綠能ETF,生技新藥,軍工ETF,航運ETF,能源ETF,金融ETF,5G ETF,新能源ETF,醫療ETF,ETF規模,ETF規模創新高,ETF單位數,ETF折溢價,ETF溢價過高,ETF淨值,ETF資金流入,科技ETF資金流入,ETF泡沫,ETF追高,ETF套牢,現在買半導體ETF會不會太晚,科技股修正,半導體下跌,AI ETF風險,產業ETF風險,產業ETF會賠錢嗎,ETF調整成分股,ETF換股,ETF調節,科技ETF成分股,產業ETF成分股,ETF換股名單,00892,富邦台灣半導體,00891,00935,野村台灣新科技50,中信綠能電動車,00935 除息,00893 淨值,00892 vs 00904,00891 vs 00892
2023-04-16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,16,,26,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,15,0,11,0,0,17,0,0,0,
2023-04-23,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,14,,24,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,24,0,10,0,0,0,0,0,0,
2023-04-30,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,15,0,0,0,,22,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,15,0,12,0,0,0,0,0,0,
2023-05-07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,,30,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,17,0,9,0,0,0,0,0,0,
2023-05-14,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,19,0,0,0,,34,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,17,0,11,0,0,0,0,0,0,
2023-05-21,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,21,,36,0,100,0,,0,0,0,0,0,,0,0,0,0,0,0,,28,0,12,0,0,0,0,0,0,
2023-05-28,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,20,0,0,27,,39,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,30,0,13,0,0,26,0,30,0,
2023-06-04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,12,0,0,26,,38,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,23,0,13,0,0,15,0,0,0,
2023-06-11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,17,0,0,14,,44,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,33,0,15,0,0,30,0,0,0,
2023-06-18,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,15,0,0,0,,23,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,13,0,8,0,0,0,0,0,0,
2023-06-25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,0,0,0,,23,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,18,0,9,0,0,0,0,33,0,
2023-07-02,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,14,,31,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,28,0,11,0,0,0,0,0,0,
2023-07-09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,0,0,55,16,0,0,16,,29,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,24,0,15,0,0,0,0,0,0,
2023-07-16,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,17,0,0,0,,25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,29,0,14,0,0,0,0,0,0,
2023-07-23,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,23,63,0,0,,30,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,23,0,14,0,0,0,0,0,0,
2023-07-30,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,23,0,0,21,,32,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,29,0,19,0,0,0,0,0,0,
2023-08-06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,22,0,0,28,,39,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,35,43,12,0,0,0,0,0,0,
2023-08-13,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,28,0,0,21,,36,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,29,0,13,0,0,0,0,0,0,
2023-08-20,0,,0,0,0,0,0,0,0,0,0,21,0,0,0,0,22,0,0,0,22,0,0,0,,30,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,22,0,10,0,0,0,0,0,0,
2023-08-27,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,22,0,0,21,,31,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,21,0,9,0,0,0,0,0,0,
2023-09-03,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,35,0,0,0,25,0,0,24,,33,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,16,0,12,0,0,0,0,0,0,
2023-09-10,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,36,0,0,25,,35,0,0,0,,0,0,0,0,0,,0,0,0,0,48,0,,20,0,12,0,0,0,0,0,0,
2023-09-17,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,40,0,0,0,,32,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,21,0,10,12,0,0,0,0,0,
2023-09-24,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,23,0,0,16,,25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,13,0,16,14,0,0,0,0,0,
2023-10-01,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,0,25,0,0,15,,35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,21,0,10,25,0,0,0,0,0,
2023-10-08,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,31,0,0,0,23,0,0,0,,19,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,16,0,9,17,0,0,0,0,0,
2023-10-15,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,34,0,0,0,19,0,0,17,,32,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,18,0,10,24,0,0,0,0,0,
